"Kod";"Nazwa";"ogółem;ogółem;2018;[osoba]";
1206022;"Igołomia-Wawrzeńczyce (2)";7724;
1206032;"Iwanowice (2)";9135;
1206042;"Jerzmanowice-Przeginia (2)";10935;
1206052;"Kocmyrzów-Luborzyca (2)";15575;
1206063;"Krzeszowice (3)";32195;
1206064;"Krzeszowice - miasto (4)";10051;
1206065;"Krzeszowice - obszar wiejski (5)";22144;
1206072;"Liszki (2)";17292;
1206082;"Michałowice (2)";10563;
1206092;"Mogilany (2)";14052;
1206103;"Skała (3)";10556;
1206104;"Skała - miasto (4)";3803;
1206105;"Skała - obszar wiejski (5)";6753;
1206113;"Skawina (3)";43496;
1206114;"Skawina - miasto (4)";24362;
1206115;"Skawina - obszar wiejski (5)";19134;
1206123;"Słomniki (3)";13680;
1206124;"Słomniki - miasto (4)";4348;
1206125;"Słomniki - obszar wiejski (5)";9332;
1206132;"Sułoszowa (2)";5830;
1206143;"Świątniki Górne (3)";10083;
1206144;"Świątniki Górne - miasto (4)";2415;
1206145;"Świątniki Górne - obszar wiejski (5)";7668;
1206152;"Wielka Wieś (2)";12356;
1206162;"Zabierzów (2)";26504;
1206172;"Zielonki (2)";22582;
1207000;"Powiat limanowski";131523;
1207011;"Limanowa (1)";15158;
1207021;"Mszana Dolna (1)";7948;
1207032;"Dobra (2)";9967;
1207042;"Jodłownik (2)";8667;
1207052;"Kamienica (2)";7861;
1207062;"Laskowa (2)";8149;
1207072;"Limanowa (2)";25466;
1207082;"Łukowica (2)";10044;
1207092;"Mszana Dolna (2)";17643;
1207102;"Niedźwiedź (2)";7344;
1207112;"Słopnice (2)";6720;
1207122;"Tymbark (2)";6556;
1208000;"Powiat miechowski";49137;
1208012;"Charsznica (2)";7464;
1208022;"Gołcza (2)";6078;
1208032;"Kozłów (2)";4651;
1208042;"Książ Wielki (2)";5121;
1208053;"Miechów (3)";19737;
1208054;"Miechów - miasto (4)";11652;
1208055;"Miechów - obszar wiejski (5)";8085;
1208062;"Racławice (2)";2519;
1208072;"Słaboszów (2)";3567;
1209000;"Powiat myślenicki";127028;
1209013;"Dobczyce (3)";15272;
1209014;"Dobczyce - miasto (4)";6434;
1209015;"Dobczyce - obszar wiejski (5)";8838;
1209022;"Lubień (2)";10060;
1209033;"Myślenice (3)";44189;
1209034;"Myślenice - miasto (4)";18386;
1209035;"Myślenice - obszar wiejski (5)";25803;
1209042;"Pcim (2)";11082;
1209052;"Raciechowice (2)";6395;
1209062;"Siepraw (2)";8953;
1209073;"Sułkowice (3)";14916;
1209074;"Sułkowice - miasto (4)";6633;
1209075;"Sułkowice - obszar wiejski (5)";8283;
1209082;"Tokarnia (2)";8771;
1209092;"Wiśniowa (2)";7390;
1210000;"Powiat nowosądecki";216176;
1210011;"Grybów (1)";6038;
1210022;"Chełmiec (2)";28572;
1210032;"Gródek nad Dunajcem (2)";9239;
1210042;"Grybów (2)";25456;
1210052;"Kamionka Wielka (2)";10363;
1210062;"Korzenna (2)";14500;
1210073;"Krynica-Zdrój (3)";16777;
1210074;"Krynica-Zdrój - miasto (4)";10686;
1210075;"Krynica-Zdrój - obszar wiejski (5)";6091;
1210082;"Łabowa (2)";6032;
1210092;"Łącko (2)";16499;
1210102;"Łososina Dolna (2)";11049;
1210113;"Muszyna (3)";11574;
1210114;"Muszyna - miasto (4)";4831;
1210115;"Muszyna - obszar wiejski (5)";6743;
1210122;"Nawojowa (2)";8703;
1210133;"Piwniczna-Zdrój (3)";10650;
1210134;"Piwniczna-Zdrój - miasto (4)";5882;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";4768;
1210142;"Podegrodzie (2)";13170;
1210152;"Rytro (2)";3807;
1210163;"Stary Sącz (3)";23747;
1210164;"Stary Sącz - miasto (4)";9048;
1210165;"Stary Sącz - obszar wiejski (5)";14699;
1211000;"Powiat nowotarski";191508;
1211011;"Nowy Targ (1)";33373;
1211023;"Szczawnica (3)";7265;
1211024;"Szczawnica - miasto (4)";5776;
1211025;"Szczawnica - obszar wiejski (5)";1489;
1211032;"Czarny Dunajec (2)";22527;
1211042;"Czorsztyn (2)";7631;
1211052;"Jabłonka (2)";18589;
1211062;"Krościenko nad Dunajcem (2)";6809;
1211072;"Lipnica Wielka (2)";5998;
1211082;"Łapsze Niżne (2)";9341;
1211092;"Nowy Targ (2)";24015;
1211102;"Ochotnica Dolna (2)";8564;
1211112;"Raba Wyżna (2)";14717;
1211123;"Rabka-Zdrój (3)";17092;
1211124;"Rabka-Zdrój - miasto (4)";12780;
1211125;"Rabka-Zdrój - obszar wiejski (5)";4312;
1211132;"Spytkowice (2)";4533;
1211142;"Szaflary (2)";11054;
1212000;"Powiat olkuski";112035;
1212011;"Bukowno (1)";10197;
1212032;"Bolesław (2)";7786;
1212042;"Klucze (2)";15103;
1212053;"Olkusz (3)";49026;
1212054;"Olkusz - miasto (4)";35608;
1212055;"Olkusz - obszar wiejski (5)";13418;
1212062;"Trzyciąż (2)";7048;
1212073;"Wolbrom (3)";22875;
1212074;"Wolbrom - miasto (4)";8604;
1212075;"Wolbrom - obszar wiejski (5)";14271;
1213000;"Powiat oświęcimski";153737;
1213011;"Oświęcim (1)";38300;
1213023;"Brzeszcze (3)";21270;
1213024;"Brzeszcze - miasto (4)";11226;
1213025;"Brzeszcze - obszar wiejski (5)";10044;
1213033;"Chełmek (3)";12999;
1213034;"Chełmek - miasto (4)";9061;
1213035;"Chełmek - obszar wiejski (5)";3938;
1213043;"Kęty (3)";34193;
1213044;"Kęty - miasto (4)";18744;
1213045;"Kęty - obszar wiejski (5)";15449;
1213052;"Osiek (2)";8207;
1213062;"Oświęcim (2)";18422;
1213072;"Polanka Wielka (2)";4297;
1213082;"Przeciszów (2)";6751;
1213093;"Zator (3)";9298;
1213094;"Zator - miasto (4)";3698;
1213095;"Zator - obszar wiejski (5)";5600;
1214000;"Powiat proszowicki";43523;
1214012;"Koniusza (2)";9020;
1214022;"Koszyce (2)";5508;
1214033;"Nowe Brzesko (3)";5752;
1214034;"Nowe Brzesko - miasto (4)";1683;
1214035;"Nowe Brzesko - obszar wiejski (5)";4069;
1214042;"Pałecznica (2)";3583;
1214053;"Proszowice (3)";16243;
1214054;"Proszowice - miasto (4)";6012;
1214055;"Proszowice - obszar wiejski (5)";10231;
1214062;"Radziemice (2)";3417;
1215000;"Powiat suski";84255;
1215011;"Jordanów (1)";5373;
1215021;"Sucha Beskidzka (1)";9165;
1215032;"Budzów (2)";8946;
1215042;"Bystra-Sidzina (2)";6859;
1215052;"Jordanów (2)";11146;
1215063;"Maków Podhalański (3)";16132;
1215064;"Maków Podhalański - miasto (4)";5853;
1215065;"Maków Podhalański - obszar wiejski (5)";10279;
1215072;"Stryszawa (2)";11888;
1215082;"Zawoja (2)";9126;
1215092;"Zembrzyce (2)";5620;
1216000;"Powiat tarnowski";201570;
1216013;"Ciężkowice (3)";11232;
1216014;"Ciężkowice - miasto (4)";2469;
1216015;"Ciężkowice - obszar wiejski (5)";8763;
1216022;"Gromnik (2)";8899;
1216032;"Lisia Góra (2)";15332;
1216042;"Pleśna (2)";11955;
1216053;"Radłów (3)";9750;
1216054;"Radłów - miasto (4)";2767;
1216055;"Radłów - obszar wiejski (5)";6983;
1216063;"Ryglice (3)";11694;
1216064;"Ryglice - miasto (4)";2831;
1216065;"Ryglice - obszar wiejski (5)";8863;
1216072;"Rzepiennik Strzyżewski (2)";6742;
1216082;"Skrzyszów (2)";14254;
1216092;"Tarnów (2)";26028;
1216103;"Tuchów (3)";18043;
1216104;"Tuchów - miasto (4)";6671;
1216105;"Tuchów - obszar wiejski (5)";11372;
1216112;"Wierzchosławice (2)";10825;
1216122;"Wietrzychowice (2)";3989;
1216133;"Wojnicz (3)";13481;
1216134;"Wojnicz - miasto (4)";3330;
1216135;"Wojnicz - obszar wiejski (5)";10151;
1216143;"Zakliczyn (3)";12459;
1216144;"Zakliczyn - miasto (4)";1642;
1216145;"Zakliczyn - obszar wiejski (5)";10817;
1216153;"Żabno (3)";18912;
1216154;"Żabno - miasto (4)";4248;
1216155;"Żabno - obszar wiejski (5)";14664;
1216162;"Szerzyny (2)";7975;
1217000;"Powiat tatrzański";68146;
1217011;"Zakopane (1)";27191;
1217022;"Biały Dunajec (2)";7184;
1217032;"Bukowina Tatrzańska (2)";13351;
1217042;"Kościelisko (2)";8784;
1217052;"Poronin (2)";11636;
1218000;"Powiat wadowicki";160130;
1218013;"Andrychów (3)";43654;
1218014;"Andrychów - miasto (4)";20260;
1218015;"Andrychów - obszar wiejski (5)";23394;
1218022;"Brzeźnica (2)";10345;
1218033;"Kalwaria Zebrzydowska (3)";20045;
1218034;"Kalwaria Zebrzydowska - miasto (4)";4515;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";15530;
1218042;"Lanckorona (2)";6235;
1218052;"Mucharz (2)";4122;
1218062;"Spytkowice (2)";10379;
1218072;"Stryszów (2)";6856;
1218082;"Tomice (2)";8171;
1218093;"Wadowice (3)";37934;
1218094;"Wadowice - miasto (4)";18774;
1218095;"Wadowice - obszar wiejski (5)";19160;
1218102;"Wieprz (2)";12389;
1219000;"Powiat wielicki";127078;
1219012;"Biskupice (2)";10330;
1219022;"Gdów (2)";18188;
1219032;"Kłaj (2)";10691;
1219043;"Niepołomice (3)";28455;
1219044;"Niepołomice - miasto (4)";13001;
1219045;"Niepołomice - obszar wiejski (5)";15454;
1219053;"Wieliczka (3)";59414;
1219054;"Wieliczka - miasto (4)";23395;
1219055;"Wieliczka - obszar wiejski (5)";36019;
1261000;"Powiat m.Kraków";771069;
1261011;"Kraków (1)";771069;
1262000;"Powiat m.Nowy Sącz";83896;
1262011;"Nowy Sącz (1)";83896;
1263000;"Powiat m.Tarnów";109062;
1263011;"Tarnów (1)";109062;
1400000;"MAZOWIECKIE";5403412;
1401000;"Powiat białobrzeski";33551;
1401013;"Białobrzegi (3)";10318;
1401014;"Białobrzegi - miasto (4)";6980;
1401015;"Białobrzegi - obszar wiejski (5)";3338;
1401022;"Promna (2)";5594;
1401032;"Radzanów (2)";3893;
1401042;"Stara Błotnica (2)";5326;
1401052;"Stromiec (2)";5654;
1401063;"Wyśmierzyce (3)";2766;
1401064;"Wyśmierzyce - miasto (4)";886;
1401065;"Wyśmierzyce - obszar wiejski (5)";1880;
1402000;"Powiat ciechanowski";89670;
1402011;"Ciechanów (1)";44209;
1402022;"Ciechanów (2)";7091;
1402033;"Glinojeck (3)";7861;
1402034;"Glinojeck - miasto (4)";3017;
1402035;"Glinojeck - obszar wiejski (5)";4844;
1402042;"Gołymin-Ośrodek (2)";3818;
1402052;"Grudusk (2)";3624;
1402062;"Ojrzeń (2)";4305;
1402072;"Opinogóra Górna (2)";5971;
1402082;"Regimin (2)";5018;
1402092;"Sońsk (2)";7773;
1403000;"Powiat garwoliński";108993;
1403011;"Garwolin (1)";17494;
1403021;"Łaskarzew (1)";4860;
1403032;"Borowie (2)";5211;
1403042;"Garwolin (2)";13176;
1403052;"Górzno (2)";6527;
1403062;"Łaskarzew (2)";5472;
1403072;"Maciejowice (2)";6966;
1403082;"Miastków Kościelny (2)";4889;
1403092;"Parysów (2)";4105;
1403103;"Pilawa (3)";10983;
1403104;"Pilawa - miasto (4)";4589;
1403105;"Pilawa - obszar wiejski (5)";6394;
1403112;"Sobolew (2)";8283;
1403122;"Trojanów (2)";7367;
1403132;"Wilga (2)";5297;
1403143;"Żelechów (3)";8363;
1403144;"Żelechów - miasto (4)";3995;
1403145;"Żelechów - obszar wiejski (5)";4368;
1404000;"Powiat gostyniński";45203;
1404011;"Gostynin (1)";18647;
1404022;"Gostynin (2)";12077;
1404032;"Pacyna (2)";3556;
1404043;"Sanniki (3)";6052;
1404044;"Sanniki - miasto (4)";1983;
1404045;"Sanniki - obszar wiejski (5)";4069;
1404052;"Szczawin Kościelny (2)";4871;
1405000;"Powiat grodziski";94091;
1405011;"Milanówek (1)";16306;
1405021;"Podkowa Leśna (1)";3854;
1405032;"Baranów (2)";5279;
1405043;"Grodzisk Mazowiecki (3)";47641;
1405044;"Grodzisk Mazowiecki - miasto (4)";31505;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";16136;
1405052;"Jaktorów (2)";12298;
1405062;"Żabia Wola (2)";8713;
1406000;"Powiat grójecki";98451;
1406012;"Belsk Duży (2)";6515;
1406022;"Błędów (2)";7461;
1406032;"Chynów (2)";9858;
1406042;"Goszczyn (2)";2970;
1406053;"Grójec (3)";25704;
1406054;"Grójec - miasto (4)";16707;
1406055;"Grójec - obszar wiejski (5)";8997;
1406062;"Jasieniec (2)";5369;
1406073;"Mogielnica (3)";8744;
1406074;"Mogielnica - miasto (4)";2260;
1406075;"Mogielnica - obszar wiejski (5)";6484;
1406083;"Nowe Miasto nad Pilicą (3)";7766;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";3789;
1406085;"Nowe Miasto nad Pilicą - obszar wiejski (5)";3977;
1406092;"Pniewy (2)";4805;
1406113;"Warka (3)";19259;
1406114;"Warka - miasto (4)";11926;
1406115;"Warka - obszar wiejski (5)";7333;
1407000;"Powiat kozienicki";60472;
1407012;"Garbatka-Letnisko (2)";5053;
1407022;"Głowaczów (2)";7230;
1407032;"Gniewoszów (2)";3924;
1407042;"Grabów nad Pilicą (2)";3906;
1407053;"Kozienice (3)";29659;
1407054;"Kozienice - miasto (4)";17331;
1407055;"Kozienice - obszar wiejski (5)";12328;
1407062;"Magnuszew (2)";6764;
1407072;"Sieciechów (2)";3936;
1408000;"Powiat legionowski";116775;
1408011;"Legionowo (1)";54066;
1408022;"Jabłonna (2)";19253;
1408032;"Nieporęt (2)";14493;
1408043;"Serock (3)";14708;
1408044;"Serock - miasto (4)";4416;
1408045;"Serock - obszar wiejski (5)";10292;
1408052;"Wieliszew (2)";14255;
1409000;"Powiat lipski";34214;
1409012;"Chotcza (2)";2351;
1409022;"Ciepielów (2)";5571;
1409033;"Lipsko (3)";11137;
1409034;"Lipsko - miasto (4)";5544;
1409035;"Lipsko - obszar wiejski (5)";5593;
1409042;"Rzeczniów (2)";4386;
1409052;"Sienno (2)";5852;
1409062;"Solec nad Wisłą (2)";4917;
1410000;"Powiat łosicki";31023;
1410012;"Huszlew (2)";2834;
1410023;"Łosice (3)";10837;
1410024;"Łosice - miasto (4)";7071;
1410025;"Łosice - obszar wiejski (5)";3766;
1410032;"Olszanka (2)";2961;
1410042;"Platerów (2)";4876;
1410052;"Sarnaki (2)";4717;
1410062;"Stara Kornica (2)";4798;
1411000;"Powiat makowski";45247;
1411011;"Maków Mazowiecki (1)";9787;
1411022;"Czerwonka (2)";2640;
1411032;"Karniewo (2)";5207;
1411042;"Krasnosielc (2)";6426;
1411052;"Młynarze (2)";1761;
1411062;"Płoniawy-Bramura (2)";5381;
1411073;"Różan (3)";4420;
1411074;"Różan - miasto (4)";2727;
1411075;"Różan - obszar wiejski (5)";1693;
1411082;"Rzewnie (2)";2636;
1411092;"Sypniewo (2)";3314;
1411102;"Szelków (2)";3675;
1412000;"Powiat miński";153824;
1412011;"Mińsk Mazowiecki (1)";40799;
1412042;"Cegłów (2)";6154;
1412052;"Dębe Wielkie (2)";10373;
1412062;"Dobre (2)";6004;
1412073;"Halinów (3)";16174;
1412074;"Halinów - miasto (4)";3739;
1412075;"Halinów - obszar wiejski (5)";12435;
1412082;"Jakubów (2)";5093;
1412093;"Kałuszyn (3)";5843;
1412094;"Kałuszyn - miasto (4)";2890;
1412095;"Kałuszyn - obszar wiejski (5)";2953;
1412102;"Latowicz (2)";5427;
1412112;"Mińsk Mazowiecki (2)";15325;
1412123;"Mrozy (3)";8679;
1412124;"Mrozy - miasto (4)";3552;
1412125;"Mrozy - obszar wiejski (5)";5127;
1412132;"Siennica (2)";7472;
1412142;"Stanisławów (2)";6767;
1412151;"Sulejówek (1)";19714;
1413000;"Powiat mławski";73102;
1413011;"Mława (1)";31234;
1413022;"Dzierzgowo (2)";3098;
1413032;"Lipowiec Kościelny (2)";4830;
1413042;"Radzanów (2)";3332;
1413052;"Strzegowo (2)";7565;
1413062;"Stupsk (2)";4847;
1413072;"Szreńsk (2)";4196;
1413082;"Szydłowo (2)";4610;
1413092;"Wieczfnia Kościelna (2)";4104;
1413102;"Wiśniewo (2)";5286;
1414000;"Powiat nowodworski";79291;
1414011;"Nowy Dwór Mazowiecki (1)";28647;
1414022;"Czosnów (2)";9947;
1414032;"Leoncin (2)";5578;
1414043;"Nasielsk (3)";19945;
1414044;"Nasielsk - miasto (4)";7707;
1414045;"Nasielsk - obszar wiejski (5)";12238;
1414052;"Pomiechówek (2)";9092;
1414063;"Zakroczym (3)";6082;
1414064;"Zakroczym - miasto (4)";3210;
1414065;"Zakroczym - obszar wiejski (5)";2872;
1415000;"Powiat ostrołęcki";88735;
1415012;"Baranowo (2)";6507;
1415022;"Czarnia (2)";2561;
1415032;"Czerwin (2)";5124;
1415042;"Goworowo (2)";8341;
1415052;"Kadzidło (2)";11420;
1415062;"Lelis (2)";9654;
1415072;"Łyse (2)";8434;
1415083;"Myszyniec (3)";10486;
1415084;"Myszyniec - miasto (4)";3426;
1415085;"Myszyniec - obszar wiejski (5)";7060;
1415092;"Olszewo-Borki (2)";10718;
1415102;"Rzekuń (2)";10694;
1415112;"Troszyn (2)";4796;
1416000;"Powiat ostrowski";72782;
1416011;"Ostrów Mazowiecka (1)";22545;
1416022;"Andrzejewo (2)";4125;
1416032;"Boguty-Pianki (2)";2602;
1416043;"Brok (3)";2842;
1416044;"Brok - miasto (4)";1940;
1416045;"Brok - obszar wiejski (5)";902;
1416052;"Małkinia Górna (2)";11642;
1416062;"Nur (2)";2708;
1416072;"Ostrów Mazowiecka (2)";12878;
1416082;"Stary Lubotyń (2)";3735;
1416092;"Szulborze Wielkie (2)";1677;
1416102;"Wąsewo (2)";4345;
1416112;"Zaręby Kościelne (2)";3683;
1417000;"Powiat otwocki";124036;
1417011;"Józefów (1)";20605;
1417021;"Otwock (1)";44880;
1417032;"Celestynów (2)";11680;
1417043;"Karczew (3)";15858;
1417044;"Karczew - miasto (4)";9891;
1417045;"Karczew - obszar wiejski (5)";5967;
1417052;"Kołbiel (2)";8169;
1417062;"Osieck (2)";3603;
1417072;"Sobienie-Jeziory (2)";6380;
1417082;"Wiązowna (2)";12861;
1418000;"Powiat piaseczyński";184951;
1418013;"Góra Kalwaria (3)";26772;
1418014;"Góra Kalwaria - miasto (4)";12009;
1418015;"Góra Kalwaria - obszar wiejski (5)";14763;
1418023;"Konstancin-Jeziorna (3)";24721;
1418024;"Konstancin-Jeziorna - miasto (4)";17086;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";7635;
1418032;"Lesznowola (2)";27203;
1418043;"Piaseczno (3)";83792;
1418044;"Piaseczno - miasto (4)";48119;
1418045;"Piaseczno - obszar wiejski (5)";35673;
1418052;"Prażmów (2)";10996;
1418063;"Tarczyn (3)";11467;
1418064;"Tarczyn - miasto (4)";4129;
1418065;"Tarczyn - obszar wiejski (5)";7338;
1419000;"Powiat płocki";111088;
1419012;"Bielsk (2)";9088;
1419022;"Bodzanów (2)";8221;
1419032;"Brudzeń Duży (2)";8262;
1419042;"Bulkowo (2)";5584;
1419053;"Drobin (3)";7957;
1419054;"Drobin - miasto (4)";2889;
1419055;"Drobin - obszar wiejski (5)";5068;
1419063;"Gąbin (3)";11021;
1419064;"Gąbin - miasto (4)";4114;
1419065;"Gąbin - obszar wiejski (5)";6907;
1419072;"Łąck (2)";5402;
1419082;"Mała Wieś (2)";6032;
1419092;"Nowy Duninów (2)";3993;
1419102;"Radzanowo (2)";8452;
1419112;"Słubice (2)";4455;
1419122;"Słupno (2)";7817;
1419132;"Stara Biała (2)";11891;
1419142;"Staroźreby (2)";7306;
1419153;"Wyszogród (3)";5607;
1419154;"Wyszogród - miasto (4)";2618;
1419155;"Wyszogród - obszar wiejski (5)";2989;
1420000;"Powiat płoński";87409;
1420011;"Płońsk (1)";22163;
1420021;"Raciąż (1)";4420;
1420032;"Baboszewo (2)";7959;
1420042;"Czerwińsk nad Wisłą (2)";7666;
1420052;"Dzierzążnia (2)";3688;
1420062;"Joniec (2)";2660;
1420072;"Naruszewo (2)";6353;
1420082;"Nowe Miasto (2)";4701;
1420092;"Płońsk (2)";7891;
1420102;"Raciąż (2)";8378;
1420112;"Sochocin (2)";5861;
1420122;"Załuski (2)";5669;
1421000;"Powiat pruszkowski";164240;
1421011;"Piastów (1)";22657;
1421021;"Pruszków (1)";61784;
1421033;"Brwinów (3)";26385;
1421034;"Brwinów - miasto (4)";13531;
1421035;"Brwinów - obszar wiejski (5)";12854;
1421042;"Michałowice (2)";18057;
1421052;"Nadarzyn (2)";13654;
1421062;"Raszyn (2)";21703;
1422000;"Powiat przasnyski";52824;
1422011;"Przasnysz (1)";17309;
1422023;"Chorzele (3)";10187;
1422024;"Chorzele - miasto (4)";3078;
1422025;"Chorzele - obszar wiejski (5)";7109;
1422032;"Czernice Borowe (2)";3801;
1422042;"Jednorożec (2)";7160;
1422052;"Krasne (2)";3634;
1422062;"Krzynowłoga Mała (2)";3459;
1422072;"Przasnysz (2)";7274;
1423000;"Powiat przysuski";41922;
1423012;"Borkowice (2)";4302;
1423022;"Gielniów (2)";4616;
1423032;"Klwów (2)";3426;
1423042;"Odrzywół (2)";3842;
1423052;"Potworów (2)";4233;
1423063;"Przysucha (3)";11920;
1423064;"Przysucha - miasto (4)";5854;
1423065;"Przysucha - obszar wiejski (5)";6066;
1423072;"Rusinów (2)";4289;
1423082;"Wieniawa (2)";5294;
1424000;"Powiat pułtuski";51809;
1424012;"Gzy (2)";3816;
1424022;"Obryte (2)";4821;
1424032;"Pokrzywnica (2)";4991;
1424043;"Pułtusk (3)";24615;
1424044;"Pułtusk - miasto (4)";19431;
1424045;"Pułtusk - obszar wiejski (5)";5184;
1424052;"Świercze (2)";4611;
1424062;"Winnica (2)";4091;
1424072;"Zatory (2)";4864;
1425000;"Powiat radomski";152117;
1425011;"Pionki (1)";18427;
1425022;"Gózd (2)";8913;
1425033;"Iłża (3)";14743;
1425034;"Iłża - miasto (4)";4775;
1425035;"Iłża - obszar wiejski (5)";9968;
1425042;"Jastrzębia (2)";7000;
1425052;"Jedlińsk (2)";14507;
1425062;"Jedlnia-Letnisko (2)";12738;
1425072;"Kowala (2)";12180;
1425082;"Pionki (2)";10031;
1425092;"Przytyk (2)";7285;
1425103;"Skaryszew (3)";14724;
1425104;"Skaryszew - miasto (4)";4376;
1425105;"Skaryszew - obszar wiejski (5)";10348;
1425112;"Wierzbica (2)";9719;
1425122;"Wolanów (2)";8847;
1425132;"Zakrzew (2)";13003;
1426000;"Powiat siedlecki";81352;
1426012;"Domanice (2)";2624;
1426022;"Korczew (2)";2620;
1426032;"Kotuń (2)";8526;
1426042;"Mokobody (2)";5017;
1426053;"Mordy (3)";5844;
1426054;"Mordy - miasto (4)";1793;
1426055;"Mordy - obszar wiejski (5)";4051;
1426062;"Paprotnia (2)";2556;
1426072;"Przesmyki (2)";3182;
1426082;"Siedlce (2)";18226;
1426092;"Skórzec (2)";7847;
1426102;"Suchożebry (2)";4675;
1426112;"Wiśniew (2)";5747;
1426122;"Wodynie (2)";4414;
1426132;"Zbuczyn (2)";10074;
1427000;"Powiat sierpecki";52196;
1427011;"Sierpc (1)";18014;
1427022;"Gozdowo (2)";5958;
1427032;"Mochowo (2)";6050;
1427042;"Rościszewo (2)";4146;
1427052;"Sierpc (2)";7034;
1427062;"Szczutowo (2)";4347;
1427072;"Zawidz (2)";6647;
1428000;"Powiat sochaczewski";85105;
1428011;"Sochaczew (1)";36462;
1428022;"Brochów (2)";4360;
1428032;"Iłów (2)";6183;
1428042;"Młodzieszyn (2)";5554;
1428052;"Nowa Sucha (2)";6647;
1428062;"Rybno (2)";3476;
1428072;"Sochaczew (2)";10922;
1428082;"Teresin (2)";11501;
1429000;"Powiat sokołowski";54217;
1429011;"Sokołów Podlaski (1)";18939;
1429022;"Bielany (2)";3639;
1429032;"Ceranów (2)";2220;
1429042;"Jabłonna Lacka (2)";4496;
1429053;"Kosów Lacki (3)";6006;
1429054;"Kosów Lacki - miasto (4)";2088;
1429055;"Kosów Lacki - obszar wiejski (5)";3918;
1429062;"Repki (2)";5255;
1429072;"Sabnie (2)";3697;
1429082;"Sokołów Podlaski (2)";6008;
1429092;"Sterdyń (2)";3957;
1430000;"Powiat szydłowiecki";39864;
1430012;"Chlewiska (2)";5972;
1430022;"Jastrząb (2)";5212;
1430032;"Mirów (2)";3898;
1430042;"Orońsko (2)";5963;
1430053;"Szydłowiec (3)";18819;
1430054;"Szydłowiec - miasto (4)";11779;
1430055;"Szydłowiec - obszar wiejski (5)";7040;
1432000;"Powiat warszawski zachodni";117007;
1432013;"Błonie (3)";21605;
1432014;"Błonie - miasto (4)";12327;
1432015;"Błonie - obszar wiejski (5)";9278;
1432022;"Izabelin (2)";10602;
1432032;"Kampinos (2)";4354;
1432042;"Leszno (2)";10172;
1432053;"Łomianki (3)";26723;
1432054;"Łomianki - miasto (4)";16977;
1432055;"Łomianki - obszar wiejski (5)";9746;
1432063;"Ożarów Mazowiecki (3)";24676;
1432064;"Ożarów Mazowiecki - miasto (4)";11576;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";13100;
1432072;"Stare Babice (2)";18875;
1433000;"Powiat węgrowski";66174;
1433011;"Węgrów (1)";12672;
1433022;"Grębków (2)";4467;
1433032;"Korytnica (2)";6250;
1433042;"Liw (2)";7422;
1433053;"Łochów (3)";17886;
1433054;"Łochów - miasto (4)";6821;
1433055;"Łochów - obszar wiejski (5)";11065;
1433062;"Miedzna (2)";3854;
1433072;"Sadowne (2)";5877;
1433082;"Stoczek (2)";4974;
1433092;"Wierzbno (2)";2772;
1434000;"Powiat wołomiński";245357;
1434011;"Kobyłka (1)";23706;
1434021;"Marki (1)";33914;
1434031;"Ząbki (1)";36706;
1434041;"Zielonka (1)";17589;
1434052;"Dąbrówka (2)";8097;
1434062;"Jadów (2)";7557;
1434072;"Klembów (2)";9891;
1434082;"Poświętne (2)";6223;
1434093;"Radzymin (3)";26997;
1434094;"Radzymin - miasto (4)";12876;
1434095;"Radzymin - obszar wiejski (5)";14121;
1434102;"Strachówka (2)";2742;
1434113;"Tłuszcz (3)";20026;
1434114;"Tłuszcz - miasto (4)";8157;
1434115;"Tłuszcz - obszar wiejski (5)";11869;
1434123;"Wołomin (3)";51909;
1434124;"Wołomin - miasto (4)";37138;
1434125;"Wołomin - obszar wiejski (5)";14771;
1435000;"Powiat wyszkowski";74065;
1435012;"Brańszczyk (2)";8285;
1435022;"Długosiodło (2)";7817;
1435032;"Rząśnik (2)";7018;
1435042;"Somianka (2)";5604;
1435053;"Wyszków (3)";39408;
1435054;"Wyszków - miasto (4)";26890;
1435055;"Wyszków - obszar wiejski (5)";12518;
1435062;"Zabrodzie (2)";5933;
1436000;"Powiat zwoleński";36328;
1436012;"Kazanów (2)";4539;
1436022;"Policzna (2)";5557;
1436032;"Przyłęk (2)";6182;
1436042;"Tczów (2)";4911;
1436053;"Zwoleń (3)";15139;
1436054;"Zwoleń - miasto (4)";7737;
1436055;"Zwoleń - obszar wiejski (5)";7402;
1437000;"Powiat żuromiński";38944;
1437013;"Bieżuń (3)";5021;
1437014;"Bieżuń - miasto (4)";1856;
1437015;"Bieżuń - obszar wiejski (5)";3165;
1437022;"Kuczbork-Osada (2)";4769;
1437032;"Lubowidz (2)";6894;
1437042;"Lutocin (2)";4298;
1437052;"Siemiątkowo (2)";3504;
1437063;"Żuromin (3)";14458;
1437064;"Żuromin - miasto (4)";8901;
1437065;"Żuromin - obszar wiejski (5)";5557;
1438000;"Powiat żyrardowski";75848;
1438011;"Żyrardów (1)";39992;
1438023;"Mszczonów (3)";11554;
